ID;periodo;ano;duracao.dias;carga.horaria;modalidade;categoria;local.curso;municipio;UF;latitude;longitude;organizadores;nome.curso;foco.curso; participantes;alunos;instrutores;colaboradores;instrutores.origem;programa.curso;lista.participantes;relatorio.descritivo;fotos;origem.informacoes;observacoes
011;11-15/05;1988;6;40;Presencial;Ministrado;Natal;Natal;RN;-5,750899;-35,252255;CEMAVE-Ibama e Clube de Observadores de Aves - Núcleos de MG e RN;I Curso Nordestino de Anilhamento de Aves Silvestres;Anilhamento;21;16;5;;Paulo de Tarso Zuquim Antas - CEMAVE, Pedro Scherer Neto - Museu de História Natural de Curitiba, Henry Ramos Matthews - Escola Superior de Agricultura de Mossoró (ESAM), Marco Antônio de Andrade - Instituto Estadual de Florestas de Minas Gerais - IEF, Roberto Otoch - Fortaleza, CE;Sim;Não;Não;Não;Material de divulgação;Número de participantes estimado a partir do número de vagas oferecido no material de divulgação (16)
012;27/09-03/10;1987;7;50;Presencial;Ministrado;Baía de São Marcos - Ilha do Cajual;Alcântara;MA;-2,477852;-44,485780;CEMAVE-IBDF, Canadian Wildlife Service, Companhia Vale do Rio Doce/International Waterfowl Research Bureau;Noções sobre o Uso de Aves como Indicadores Biológicos das Condições Ambientais;Anilhamento;14;;3;;Severino Mendes de Azevedo Junior, Paulo de Tarso Zuquim Antas - CEMAVE, Dr. R. I. Morrison;Sim;Não;Não;Não;Certificado (2ª via) - Luiz Sérgio Rocha Duarte;Consta 2ª via do Certificado do aluno Luiz Sérgio Rocha Duarte
013;06-13/08;1991;8;80;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19,576833;-57,019150;CEMAVE-Ibama, Universidade Federal do Mato Grosso do Sul - UFMS;XII Curso de Anilhamento de Aves: Uso do Anilhamento na Conservação de Aves Silvestres;Anilhamento;22;18;4;;Paulo de Tarso Zuquim Antas - CEMAVE, Inês Lima Serrano do Nascimento - CEMAVE, Ivandy Nascimento - CEMAVE, Benedito Salvador Ataquile - UNESP-Rio Claro;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;
014;29/10-08/11;1991;11;80;Presencial;Ministrado;Parque Nacional Marinho de Fernando de Noronha;Fernando de Noronha;PE;-3,852021;-32,435186;CEMAVE-SUPES-PARNAMAR-Ibama, Associação Brasileira para a Conservação de Aves - Pró-Aves, Fundação Centro Brasileiro de Proteção e Pesquisa das Tartarugas Marinhas - Pró-TAMAR;I Curso de Anilhamento de Aves Silvestres do Arquipélago de Fernando de Noronha;Anilhamento;14;12;2;;Albano Schultz Neto - CEMAVE, Simone Fraga Tenório Pereira;Não;Sim;Sim;Não;Relatório de Atividades CEMAVE;
015;13-23/01;1981;11;100;Presencial;Ministrado;Estação Ecológica do Taim;Rio Grande;RS;-32,538828;-52,538712;CEMAVE-IBDF;IV Curso de Observação e Anilhamento de Aves;Anilhamento;19;14;5;;Helmut Sick - Academia Brasileira de Ciências/RJ, Flávio Silva - Parque Zoológico de Sapucaia do Sul/RS, Walter Adolfo Voss - São Leopoldo/RS, João Alberto Fabrício Filho - Porto Alegre/RS, Paulo de Tarso Zuquim Antas - CEMAVE-Brasília, DF;Sim;Sim;Não;Não;Material de divulgação;Contém dois certificados assinados: Ney carnevalli e Fernando Chaves. Aparentemente, se inscreveram, mas não participaram do curso.
016;03-08/09;1982;6;50;Presencial;Ministrado;Fazenda Campo Grande;Passa Tempo;MG;-20,652576;-44,493704;CEMAVE-IBDF;Curso de Observação e Identificação de Aves;Anilhamento;16;14;2;;Paulo de Tarso Zuquim Antas - CEMAVE;Não;Sim;Não;Não;Lista de Participantes;
017;27/11-09/12;1978;15;120;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-IBDF;I Curso de Anilhamento e Observação de Aves Silvestres Brasileiras;Anilhamento;22;17;5;;Willian Belton - Gramado/RS, Helmut Sick - Academia Brasileira de Ciências/RJ, Cleber Alho - UnB, Rafael Neret - SEMA-MI, Eduardo Kunze Bastos - IBDF/FBCN;Sim;Sim;Sim;Não;Relatórios de Atividades CEMAVE;Alguns documentos de valor histórico - correspondências
018;30/11-04/12;2015;5;47;Presencial;Ministrado;Estação Ecológica de Carijós;Florianópolis;SC;-27,472798;-48,491382;CEMAVE-Base Avançada de Florianópolis;I Seminário de Monitoramento de Aves Silvestres em Unidades de Conservação de Santa Catarina;Anilhamento;48;36;9;3;Camile Lugarini - CEMAVE, Andrei Langeloh Roos - RESEX Pirajubaé-ICMBio, Danielle Paludo - CEMAVE, Manuella Andrade de Sousa - CEMAVE, Patricia Pereira Serafini - CEMAVE, Gonçalo Ferraz - UFRS, Elsimar Silveira da Silva - CAIPORA, Fabricio Basilio - APRENDER, Fernando Bittencourt Farias - Plaza Caldas da Imperatriz Resort & Spa;Sim;Sim;Sim;Não;Memória do Seminário;36 horas de aulas teóricas (36 participantes) e 11 horas de atividades práticas (17 participantes)
019;;;;;Presencial;Ministrado;;;;;;;II Curso de Observação e Anilhamento de Aves;Anilhamento;21;14;7;;Helmut Sick - Academia Brasileira de Ciências/RJ, Flávio Silva - Parque Zoológico de Sapucaia do Sul/RS, Walter Adolfo Voss - São Leopoldo/RS, C. C. Olrog - Instituto Miguel Lillo - Agentina, Germano Guari Neto - UFMT, Gilberto Oliveira de Aguiar - UFMT, Rick Hansen - IBDF/DF;Não;Sim ;Não;Não;Lista de Participantes;
020;28/03-13/04;1988;17;120;Presencial;Ministrado;Parque Nacional da Lagoa do Peixe;Tavares;RS;-31,288703;-51,088843;CEMAVE-IBDF/ Fish and Wildlife Service, The Nature Conservancy, FUNATURA, Universidade do Vale do Rio dos Sinos - Unisinos, Fundação Zoobotânica do Rio Grande do Sul - FZTRGS;VIII Curso de Anilhamento de Aves Silvestres;Anilhamento;;16;;;;Não;Não;Não;Não;Relatório Preliminar (Provisional report);Não há lista de participantes, nem identificação dos instrutores. O relatório preliminar informa que participaram 16 alunos, sendo: 3 da Argentina, 1 do Peru, 1 de MG, 4 do RJ, 2 de SP, 1 de SC e 4 do RS.
021;01-12/03;1991;12;100;Presencial;Ministrado;Estação Ecológica do Tapacura e Base de Pesquisa em Aves Migratórias da Coroa do Avião;Itamaracá;PE;-7,746573;-34,823951;CEMAVE-Ibama, Universidade Federal Rural de Pernambuco - UFRPE;XI Curso de Anilhamento de Aves;Anilhamento;18;11;4;3;Paulo de Tarso Zuquim Antas - CEMAVE-Ibama, João Luiz Xavier do Nascimento - CEMAVE-Ibama, Severino Mendes de Azevedo Junior - UFRPE, Albano Schultz Neto - CEMAVE-Ibama, Lucian José de Lacerda Interaminense (monitor), Simone Fraga Tenório Pereira (monitora), Raquel Melo de Carvalho (monitora);Não;Sim;Sim;Não;Relatório de Atividades CEMAVE;
022;25/05-03/06;1994;10;80;Presencial;Ministrado;Floresta Nacional do Araripe e Estação Ecológica de Aiuaba;Crato;CE;-7,340399;-39,432027;CEMAVE-Ibama, ESEC Aiuaba, Universidade Federal Rural de Pernambuco - UFRPE, Prefeitura Municipal do Crato, Universidade Regional do Cariri - URCA;O Uso do Anilhamento na Conservação das Aves Silvestres;Anilhamento;15;11;2;2;João Luis Xavier do Nascimento - CEMAVE-Ibama, Severino Mendes de Azevedo Junior - UFRPE;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Curso Regional
023;06-08/06;1995;3;24;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-Ibama;A Ornitologia na Conservação das Aves Silvestres;Fiscalização;33;31;2;;João Luis Xavier do Nascimento - CEMAVE-Ibama, Inês de Lima Serrano Nascimento - CEMAVE-Ibama;Sim;Sim;Não;Não;Relatório de Avaliação do Curso;Curso de curta duração para técnicos do Ibama
024;13-22/06;1995;10;80;Presencial;Ministrado;Estação Ecológica de Aiuaba e Floresta Nacional do Araripe-Apodi;Aiuaba;CE;-6,689030;-40,213018;CEMAVE-Ibama, ESEC Aiuaba, FLONA Araripe-Apodi, PROAVES;A Ornitologia na Conservação das Aves Silvestres;Anilhamento;13;11;2;;João Luis Xavier do Nascimento - CEMAVE-Ibama, Albano Schulz Neto - CEMAVE-Ibama;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;
